STAND, POSX, POSY, POSZ, POL, DELAY
96, 16.806, -27.875, 2.401, 0, 4.31164808202e-07
96, 16.806, -27.875, 2.401, 1, 4.31164808202e-07
144, 20.924, 25.277, 0.577, 0, 2.82070435273e-07
144, 20.924, 25.277, 0.577, 1, 2.82070435273e-07
75, -9.575, 6.94, 1.326, 0, 3.90869031735e-07
75, -9.575, 6.94, 1.326, 1, 3.90869031735e-07
107, -16.28, 3.998, 1.499, 0, 4.5937185173e-07
107, -16.28, 3.998, 1.499, 1, 4.5937185173e-07
9, -0.759, -4.375, 1.683, 0, 3.66691565854e-07
9, -0.759, -4.375, 1.683, 1, 3.66691565854e-07
82, 11.968, 30.376, 0.408, 0, 2.70340334743e-07
82, 11.968, 30.376, 0.408, 1, 2.69941406556e-07
39, -6.795, 2.81, 1.467, 0, 4.06987342322e-07
39, -6.795, 2.81, 1.467, 1, 4.07591778969e-07
78, 11.308, 17.891, 0.866, 0, 3.31291726228e-07
78, 11.308, 17.891, 0.866, 1, 3.34229288332e-07
105, -14.922, -5.034, 1.808, 0, 4.57391314316e-07
105, -14.922, -5.034, 1.808, 1, 4.56025287494e-07
146, 22.693, 29.929, 0.38, 0, 2.74436400421e-07
146, 22.693, 29.929, 0.38, 1, 2.7322148276e-07
43, -5.886, 16.536, 1.048, 0, 3.76096600082e-07
43, -5.886, 16.536, 1.048, 1, 3.70721143501e-07
231, 41.945, -15.744, 1.991, 0, 3.49535639023e-07
231, 41.945, -15.744, 1.991, 1, 3.47480554424e-07
237, 42.425, 3.46, 1.286, 0, 2.6978022345e-07
237, 42.425, 3.46, 1.286, 1, 2.66899075433e-07
247, 47.37, -12.401, 1.854, 0, 3.3276050728e-07
247, 47.37, -12.401, 1.854, 1, 3.31944517806e-07
126, 20.664, -32.37, 2.5, 0, 4.4990234426e-07
